36.31,275.43,0.03
ETSY JEAN SHORTS OFFAL,0.00030343697,8,0.0024130176540755467
VEXILLOLOGIST,0.00030343386,184,0.055498837216699806
RACLETTE SUCCULENTS,0.0003033987,10,0.0030158916500994037
UNICORN,0.0003033762,154,0.04644128707753479
MAN BRAID LEGGINGS,0.00030336555,10,0.003015562127236581
GASTROPUB MICRODOSING,0.00030334387,8,0.002412277296222664
VICE PORK BELLY BLOG HOODIE,0.00030323307,10,0.0030142452286282314
BUTCHER SRIRACHA AF KALE CHIPS,0.00030315848,9,0.002712153399602386
GODARD SEMIOTICS ARTISAN SUCCULENTS,0.00030312868,10,0.003013207554671968
TRADE UMAMI,0.0003030977,9,0.002711609642147118
MUSTACHE SCENESTER POKE CHAMBRAY UNICORN,0.00030301654,10,0.0030120928429423458
BANJO SUCCULENTS HOODIE,0.00030290338,8,0.002408774393638171
SUBWAY TILE MAN BRAID HOODIE,0.00030277405,10,0.0030096824055666003
PRISM RACLETTE,0.00030276724,10,0.003009614711729623
HEALTH GOTH INTELLIGENTSIA,0.00030234482,10,0.0030054157057654075
CRAFT BEER SUBWAY TILE PLAID,0.0003022205,10,0.003004179920477137
TRUFFAUT RACLETTE,0.00030210256,10,0.0030030075546719683
BATCH CLOUD BREAD,0.00030185774,8,0.0024004591650099404
GODARD PITCHFORK,0.0003018402,10,0.0030003996023856856
QUINOA ADAPTOGEN KALE CHIPS,0.00030182843,8,0.002400226083499006
